rho,kappa,gamma,nu_0,nu_bar
-6.750000000000000444e-01,1.000000000000000056e-01,2.075000000000000178e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,4.050000000000000266e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,6.025000000000000355e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,1.000000000000000021e-02,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,2.075000000000000178e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,4.050000000000000266e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,6.025000000000000355e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,8.249999999999999556e-01,8.000000000000000444e-01,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.000000000000000021e-02,2.550000000000000044e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.775000000000000022e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.000000000000000021e-02,5.000000000000000000e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.325000000000000067e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.325000000000000067e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.325000000000000067e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.325000000000000067e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,1.325000000000000067e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,2.550000000000000044e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,2.550000000000000044e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,2.550000000000000044e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,2.550000000000000044e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,2.550000000000000044e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,3.775000000000000022e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,3.775000000000000022e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,3.775000000000000022e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,3.775000000000000022e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,3.775000000000000022e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,5.000000000000000000e-01,1.000000000000000021e-02
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,5.000000000000000000e-01,1.325000000000000067e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,5.000000000000000000e-01,2.550000000000000044e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,5.000000000000000000e-01,3.775000000000000022e-01
-6.750000000000000444e-01,1.550000000000000044e+00,1.000000000000000021e-02,5.000000000000000000e-01,5.000000000000000000e-01
-6.750000000000000444e-01,1.550000000000000044e+00,2.075000000000000178e-01,1.000000000000000021e-02,1.000000000000000021e-02
-6.750000000000000444e-01,1.550000000000000044e+00,2.075000000000000178e-01,1.000000000000000021e-02,1.325000000000000067e-01
-6.750000000000000444e-01,1.550000000000000044e+00,2.075000000000000178e-01,1.000000000000000021e-02,2.550000000000000044e-01
